filename,page_number,doc_id,expected_route,has_table,valid_word_ratio,text_coverage
englishscan4.pdf,24,doc_003,fast_text,false,0.97,0.80
englishscan4.pdf,25,doc_003,fast_text,false,0.98,0.78
englishscan4.pdf,26,doc_003,fast_text,false,0.99,0.75
englishscan4.pdf,27,doc_003,fast_text,false,0.98,0.20
hindi.pdf,1,doc_004,multilingual_ocr,false,0.85,0.78
hindi.pdf,2,doc_004,multilingual_ocr,false,0.87,0.84
hindi.pdf,3,doc_004,multilingual_ocr,false,0.86,0.85
hindi.pdf,4,doc_004,multilingual_ocr,false,0.84,0.82
mixcolorbgf.pdf,1,doc_005,vlm_heavy,false,0.95,0.30
mixcolorbgf.pdf,2,doc_005,vlm_heavy,true,0.92,0.45
mixcolorbgf.pdf,3,doc_005,vlm_heavy,false,0.95,0.25
mixcolorbgf.pdf,4,doc_005,vlm_heavy,true,0.90,0.50
mixcolorbgf.pdf,5,doc_005,vlm_heavy,true,0.91,0.55
mixcolorbgf.pdf,6,doc_005,vlm_heavy,true,0.93,0.60
mixcolorbgf.pdf,7,doc_005,vlm_heavy,true,0.92,0.58
mixcolorbgf.pdf,8,doc_005,vlm_heavy,true,0.90,0.62
mixcolorbgf.pdf,9,doc_005,vlm_heavy,true,0.91,0.55
mixcolorbgf.pdf,10,doc_005,vlm_heavy,true,0.94,0.58
mixcolorbgf.pdf,11,doc_005,vlm_heavy,true,0.93,0.52
mixcolorbgf.pdf,12,doc_005,vlm_heavy,true,0.92,0.50
mixcolorbgf.pdf,13,doc_005,vlm_heavy,true,0.90,0.48
mixcolorbgf.pdf,14,doc_005,vlm_heavy,true,0.95,0.65
mixcolorbgf.pdf,15,doc_005,vlm_heavy,true,0.91,0.60
mixcolorbgf.pdf,16,doc_005,vlm_heavy,true,0.92,0.58
mixcolorbgf.pdf,17,doc_005,vlm_heavy,true,0.94,0.62
mixcolorbgf.pdf,18,doc_005,vlm_heavy,true,0.90,0.55
mixcolorbgf.pdf,19,doc_005,vlm_heavy,true,0.92,0.65
mixcolorbgf.pdf,20,doc_005,vlm_heavy,false,0.95,0.40
mixcolorbgf.pdf,21,doc_005,vlm_heavy,false,0.94,0.42
mixcolorbgf.pdf,22,doc_005,vlm_heavy,false,0.93,0.38
mixcolorbgf.pdf,23,doc_005,vlm_heavy,false,0.95,0.20
mixcolorbgf.pdf,24,doc_005,vlm_heavy,false,0.90,0.15
pages50eng.pdf,1,doc_006,fast_text,false,0.99,0.85
pages50eng.pdf,2,doc_006,fast_text,false,0.99,0.88
pages50eng.pdf,3,doc_006,fast_text,false,0.98,0.86
pages50eng.pdf,4,doc_006,fast_text,false,0.99,0.87
pages50eng.pdf,5,doc_006,fast_text,false,0.98,0.85
pages50eng.pdf,6,doc_006,fast_text,false,0.99,0.84
pages50eng.pdf,7,doc_006,fast_text,false,0.98,0.86
pages50eng.pdf,8,doc_006,fast_text,false,0.99,0.85
pages50eng.pdf,9,doc_006,fast_text,false,0.98,0.83
pages50eng.pdf,10,doc_006,fast_text,false,0.99,0.84
pages50eng.pdf,11,doc_006,fast_text,false,0.98,0.82
pages50eng.pdf,12,doc_006,fast_text,false,0.99,0.85
pages50eng.pdf,13,doc_006,fast_text,false,0.98,0.80
pages50eng.pdf,14,doc_006,fast_text,false,0.99,0.82
pages50eng.pdf,15,doc_006,fast_text,false,0.98,0.84
pages50eng.pdf,16,doc_006,fast_text,false,0.99,0.83
pages50eng.pdf,17,doc_006,fast_text,false,0.98,0.81
pages50eng.pdf,18,doc_006,fast_text,false,0.99,0.80
pages50eng.pdf,19,doc_006,fast_text,false,0.98,0.82
pages50eng.pdf,20,doc_006,fast_text,false,0.99,0.85
pages50eng.pdf,21,doc_006,fast_text,false,0.98,0.83
pages50eng.pdf,22,doc_006,fast_text,false,0.99,0.81
pages50eng.pdf,23,doc_006,fast_text,false,0.98,0.84
pages50eng.pdf,24,doc_006,fast_text,false,0.99,0.82
pages50eng.pdf,25,doc_006,fast_text,false,0.98,0.80
pages50eng.pdf,26,doc_006,fast_text,false,0.99,0.78
pages50eng.pdf,27,doc_006,fast_text,false,0.98,0.82
pages50eng.pdf,28,doc_006,fast_text,false,0.99,0.84
pages50eng.pdf,29,doc_006,fast_text,false,0.98,0.83
pages50eng.pdf,30,doc_006,fast_text,false,0.99,0.81
pages50eng.pdf,31,doc_006,fast_text,false,0.98,0.80
pages50eng.pdf,32,doc_006,fast_text,false,0.99,0.82
pages50eng.pdf,33,doc_006,fast_text,false,0.98,0.75
pages50eng.pdf,34,doc_006,vlm_heavy,true,0.96,0.80
scannedenglish.pdf,1,doc_008,standard_ocr,false,0.82,0.70
scannedenglish.pdf,2,doc_008,standard_ocr,false,0.84,0.65
scannedenglish.pdf,3,doc_008,vlm_heavy,true,0.80,0.82
scannedenglish.pdf,4,doc_008,vlm_heavy,true,0.81,0.85
scannedenglish.pdf,5,doc_008,vlm_heavy,true,0.79,0.83
scannedenglish.pdf,6,doc_008,vlm_heavy,true,0.82,0.84
scannedenglish.pdf,7,doc_008,vlm_heavy,true,0.80,0.80
scannedenglish.pdf,8,doc_008,vlm_heavy,true,0.81,0.82
scannedenglish.pdf,9,doc_008,vlm_heavy,true,0.83,0.85
scannedenglish.pdf,10,doc_008,vlm_heavy,true,0.78,0.81
scannedenglish.pdf,11,doc_008,vlm_heavy,true,0.80,0.83
scannedenglish.pdf,12,doc_008,vlm_heavy,true,0.82,0.80
scannedenglish.pdf,13,doc_008,vlm_heavy,true,0.81,0.75
scannedenglish.pdf,14,doc_008,standard_ocr,false,0.83,0.68
doc_007.pdf,1,doc_007,fast_text,false,0.99,0.30
doc_007.pdf,2,doc_007,vlm_heavy,true,0.98,0.75
doc_007.pdf,3,doc_007,vlm_heavy,true,0.98,0.78
doc_007.pdf,4,doc_007,vlm_heavy,true,0.98,0.70
doc_007.pdf,5,doc_007,fast_text,false,0.99,0.60
doc_007.pdf,6,doc_007,fast_text,false,0.99,0.65
doc_007.pdf,7,doc_007,fast_text,false,0.99,0.70
doc_007.pdf,8,doc_007,fast_text,false,0.99,0.72
doc_007.pdf,9,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,10,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,11,doc_007,vlm_heavy,true,0.98,0.68
doc_007.pdf,12,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,13,doc_007,fast_text,false,0.99,0.85
doc_007.pdf,14,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,15,doc_007,vlm_heavy,true,0.98,0.72
doc_007.pdf,16,doc_007,vlm_heavy,true,0.98,0.70
doc_007.pdf,17,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,18,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,19,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,20,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,21,doc_007,fast_text,false,0.99,0.85
doc_007.pdf,22,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,23,doc_007,fast_text,false,0.99,0.75
doc_007.pdf,24,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,25,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,26,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,27,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,28,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,29,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,30,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,31,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,32,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,33,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,34,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,35,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,36,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,37,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,38,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,39,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,40,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,41,doc_007,fast_text,false,0.99,0.85
doc_007.pdf,42,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,43,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,44,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,45,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,46,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,47,doc_007,vlm_heavy,true,0.98,0.70
doc_007.pdf,48,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,49,doc_007,fast_text,false,0.99,0.85
doc_007.pdf,50,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,51,doc_007,vlm_heavy,true,0.98,0.75
doc_007.pdf,52,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,53,doc_007,vlm_heavy,true,0.98,0.76
doc_007.pdf,54,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,55,doc_007,vlm_heavy,true,0.98,0.72
doc_007.pdf,56,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,57,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,58,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,59,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,60,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,61,doc_007,fast_text,false,0.99,0.85
doc_007.pdf,62,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,63,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,64,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,65,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,66,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,67,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,68,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,69,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,70,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,71,doc_007,fast_text,false,0.99,0.84
doc_007.pdf,72,doc_007,vlm_heavy,true,0.98,0.74
doc_007.pdf,73,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,74,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,75,doc_007,vlm_heavy,true,0.98,0.65
doc_007.pdf,76,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,77,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,78,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,79,doc_007,fast_text,false,0.99,0.80
doc_007.pdf,80,doc_007,fast_text,false,0.99,0.82
doc_007.pdf,81,doc_007,fast_text,false,0.99,0.83
doc_007.pdf,82,doc_007,vlm_heavy,true,0.98,0.70
doc_007.pdf,83,doc_007,fast_text,false,0.99,0.81
doc_007.pdf,84,doc_007,fast_text,false,0.99,0.78
