query_id,type,query,label_docs,label_pages,flag,detail,expected_answer,top5,top5_snippet
q_018,multi_hop,"How does the Public Records Act define 'public records', and who is permitted to downgrade their classification?",doc_001;doc_002,2,OFF_BY_ONE,"labeled page [2], retrieval hits [3] (adjacent)","The Act defines public records to include documents, manuscripts, files, microfilms, and computer records. The Rules spe",doc_002@p3 | doc_002@p4 | doc_003@p14 | doc_007@p39 | doc_007@p15,```markdown Form-1 [See sub-rule (2) of rule 5] Particulars of records of permanent nature due for appraisal during the year.....  | Total number of files of 'A' & 'B' categories lying in the records 
q_019,multi_hop,"How does the Assam budget allocation for Education, Sports, Art and Culture compare against Health and Family Welfare?",doc_005,15,OK,,"Education, Sports, Art and Culture is allocated Rs. 23,227 crore, which is significantly higher than the Rs. 8,399 crore",doc_005@p15 | doc_005@p18 | doc_005@p15 | doc_005@p15 | doc_005@p15,"Here's the text from the image, preserving its layout structure:  HIGHLIGHTS OF BUDGET ASSAM BUDGET 2024-25 2024-25  Budget 2024-25: Snapshot SECTORAL ANALYSIS OF EXPENDITURE  Figures (₹) in crore  Ed"
q_020,multi_hop,"Is XBRL based on a W3C standard? If so, what is it?",doc_007,41,PAGE_MISS,"labeled pages [41], retrieval pages of labeled docs: [32, 61, 66]","Yes, XBRL is an application of XML (eXtensible Markup Language), which is a standard defined by the W3 Consortium.",doc_006@p6 | doc_006@p7 | doc_006@p23 | doc_006@p28 | doc_007@p32,"A corporate report is converted into a digital corporate report when it is structured with XBRL tags that convey the contextual meaning of reported information. The contextual tags are listed, classif"
q_021,table_interpretation,"Based on the State-wise allocation of SDRF table, what is the Central Share allocated to Bihar for the 2024-25 period?",doc_003,14,OFF_BY_ONE,"labeled page [14], retrieval hits [15] (adjacent)","1,311.20 crore.",doc_003@p15 | doc_003@p18 | doc_003@p6 | doc_003@p20 | doc_003@p20,"Here's the accurately extracted text from the image, preserving its layout structure:  Annexure-l  State-wise allocation of State Disaster Response Fund (SDRF) for the Award period 2021-26  (Rs. in cr"
q_022,table_interpretation,"According to the 'Rupee Comes From' chart in the Assam Budget 2024-25, what is the largest individual source of revenue?",doc_005,8,OK,,"Share of Central Taxes, contributing 40,000 crore.",doc_005@p8 | doc_005@p10 | doc_005@p9 | doc_005@p11 | doc_005@p7,"Here's the extracted text from the image, preserving its layout structure:  **HIGHLIGHTS OF** **BUDGET** **ASSAM** **BUDGET** **2024-25**  **Budget 2024-25: Snapshot**  **RUPEE COMES FROM**  Figures ("
q_023,table_interpretation,"In the Assam Budget SDGs chart, what is the total allocation for Goal 3 (Good Health and Wellbeing)?",doc_005,16,OK,,"25,856 crore.",doc_005@p16 | doc_005@p15 | doc_005@p8 | doc_005@p18 | doc_005@p18,"Here's the text from the image, preserving its layout structure:  HIGHLIGHTS OF BUDGET ASSAM BUDGET 2024-25  Budget 2024-25: Snapshot SUSTAINABLE DEVELOPMENT GOALS 2030 (GOAL WISE ALLOCATION FOR 2022-"
q_024,table_interpretation,"Based on the Cross-Border Transactions table in the IASC document, what was the percentage for Germany in 1998?",doc_007,7,OK,,334% of GDP.,doc_007@p17 | doc_007@p18 | doc_007@p15 | doc_007@p43 | doc_007@p73,An integral part of the process of globalisation is the massive increases in investment across borders. Table 1 shows the phenomenal growth in cross-border transactions in bonds and equities  over  th
q_025,table_interpretation,What is the total budget demand allocated for Panchayat & Rural Development in the Top 15 departments of the Assam Budget?,doc_005,17,OK,,"8,403 crore.",doc_005@p17 | doc_005@p3 | doc_005@p15 | doc_005@p14 | doc_005@p14,"Here's the extracted text from the image, preserving its layout structure:  HIGHLIGHTS OF ASSAM BUDGET BUDGET 2024-25 2024-2025  Budget 2024-25: Snapshot TOP 15 DEPARTMENTS AS PER BUDGET DEMAND FY 202"
q_026,table_interpretation,What is the budget demand for Public Works (Roads) compared to Public Works (Buildings & NH) in Assam?,doc_005,17,OK,,"Public Works (Roads) is allocated Rs. 8,998 crore, while Public Works (Buildings & NH) is allocated Rs. 3,944 crore.",doc_005@p17 | doc_005@p14 | doc_005@p19 | doc_008@p12 | doc_005@p14,"Here's the extracted text from the image, preserving its layout structure:  HIGHLIGHTS OF ASSAM BUDGET BUDGET 2024-25 2024-2025  Budget 2024-25: Snapshot TOP 15 DEPARTMENTS AS PER BUDGET DEMAND FY 202"
q_027,table_interpretation,"According to the Assam Green Budget table, what is the Green Estimate amount for the Environment & Forest Department?",doc_005,19,OK,,265.88 crore.,doc_005@p19 | doc_005@p3 | doc_005@p17 | doc_005@p21 | doc_005@p10,```markdown | Sl.No. | Department                                        | BE (in cr.) | Green Estimate (in cr.) | %     | | :----- | :------------------------------------------------ | :---------- | 
q_028,table_interpretation,"In the Financial Information Disclosed table by Hussey et al. (1998), how many UK FTSE 100 companies published Detailed Accounts in March 1998?",doc_007,47,PAGE_MISS,"labeled pages [47], retrieval pages of labeled docs: [15, 19, 35, 36, 37, 38, 74, 75]",54 companies (85.7%).,doc_007@p36 | doc_007@p35 | doc_007@p37 | doc_007@p38 | doc_007@p15,Table 2: Financial Information Disclosed - UK FTSE 100 Companies.
q_029,table_interpretation,What is the Central Share for Maharashtra in the 2021-22 SDRF allocation?,doc_003,14,OFF_BY_ONE,"labeled page [14], retrieval hits [15] (adjacent)","1,456.00 crore.",doc_003@p15 | doc_003@p6 | doc_003@p20 | doc_003@p2 | doc_003@p2,"Here's the accurately extracted text from the image, preserving its layout structure:  Annexure-l  State-wise allocation of State Disaster Response Fund (SDRF) for the Award period 2021-26  (Rs. in cr"
q_030,table_interpretation,What was the total State Share allocation for Goa across the 2021-26 period?,doc_003,14,OFF_BY_ONE,"labeled page [14], retrieval hits [15] (adjacent)",16.00 crore.,doc_003@p15 | doc_003@p15 | doc_003@p15 | doc_003@p20 | doc_003@p18,"Here's the accurately extracted text from the image, preserving its layout structure:  Annexure-l  State-wise allocation of State Disaster Response Fund (SDRF) for the Award period 2021-26  (Rs. in cr"
q_031,scanned_lookup,"What Form number is used for the 'Requisition slip' to withdraw public records under the Public Records Rules, 1997?",doc_002,4,OK,,Form-3.,doc_002@p3 | doc_003@p16 | doc_007@p15 | doc_007@p64 | doc_003@p1,```markdown Form-1 [See sub-rule (2) of rule 5] Particulars of records of permanent nature due for appraisal during the year.....  | Total number of files of 'A' & 'B' categories lying in the records 
q_032,hindi_lookup,1985 के भारत सरकार (कार्य आवंटन) संशोधन नियमों के अनुसार ग्रामीण विकास विभाग किस अनुसूची के अंतर्गत आता है?,doc_004,1,OK,,प्रथम अनुसूची (First Schedule).,doc_004@p1 | doc_004@p4 | doc_004@p4 | doc_004@p2 | doc_004@p3,"Here's the accurately extracted text from the image, preserving its layout:  ( )2 YERED NI  सं० 460 No 460]  भारत का राजपत्र The Gazette of India  असाधारण EXTRAORDINARY भाग II-खण्ड 3-उप-खण्ड (ii) PART"
q_033,scanned_lookup,"According to the revised SDRF norms, what is the maximum assistance for the loss of a camel, horse, or bullock acting as a draught animal?",doc_008,5,OFF_BY_ONE,"labeled page [5], retrieval hits [6] (adjacent)","Rs. 32,000/- per animal.",doc_008@p7 | doc_008@p3 | doc_003@p23 | doc_008@p9 | doc_008@p6,"```markdown | | | | |---|---|---| | | b) Perennial crops/Agro forestry (Plantation in own farmland) | Rs. 22,500/- ha. for all types of perennial crops/ Agro forestry (Plantation in own farmland), sub"
q_034,scanned_lookup,What is the specific penalty or action for unauthorized removal of public records by a records officer under the 1993 Act?,doc_001,4;5,DOC_MISS,"labeled docs ['doc_001'], top-10 docs ['doc_002', 'doc_003', 'doc_007', 'doc_008']","Under Section 7, the records officer must take appropriate action for recovery/restoration and submit a report without d",doc_002@p3 | doc_003@p1 | doc_007@p2 | doc_007@p44 | doc_003@p5,```markdown Form-1 [See sub-rule (2) of rule 5] Particulars of records of permanent nature due for appraisal during the year.....  | Total number of files of 'A' & 'B' categories lying in the records 
q_035,scanned_lookup,Form-8 in the Public Records Rules 1997 is used for what purpose?,doc_002,7,PAGE_MISS,"labeled pages [7], retrieval pages of labeled docs: [3, 4]",It is the Application form for permission to consult records by a research scholar.,doc_002@p3 | doc_007@p44 | doc_007@p15 | doc_003@p1 | doc_007@p72,```markdown Form-1 [See sub-rule (2) of rule 5] Particulars of records of permanent nature due for appraisal during the year.....  | Total number of files of 'A' & 'B' categories lying in the records 
q_036,hindi_lookup,कृषि उत्पाद के विपणन संबंधी सामान्य नीति (Marketing of agricultural produce) किस भाग के अंतर्गत आती है?,doc_004,3,OK,,भाग- III (Part III).,doc_004@p1 | doc_004@p2 | doc_004@p1 | doc_004@p1 | doc_004@p3,"Here's the accurately extracted text from the image, preserving its layout:  ( )2 YERED NI  सं० 460 No 460]  भारत का राजपत्र The Gazette of India  असाधारण EXTRAORDINARY भाग II-खण्ड 3-उप-खण्ड (ii) PART"
q_037,scanned_lookup,"Under the 2023 revised SDRF norms, how much assistance is provided for repairing a damaged Primary/Community Health Centre?",doc_008,11,OK,,"As per actual, subject to a ceiling of Rs. 2.00 lakh per unit.",doc_008@p13 | doc_008@p11 | doc_008@p3 | doc_008@p12 | doc_008@p9,"```markdown | | | | |---|---|---| | | (5) Schools Repair of damaged schools building | applicable for those items which can be re-used). As per actual, subject to a ceiling of Rs 2.00 lakh per school."
q_038,scanned_lookup,Who serves as the ex-officio Chairman of the Archival Advisory Board?,doc_001,5,DOC_MISS,"labeled docs ['doc_001'], top-10 docs ['doc_003', 'doc_006', 'doc_007']",The Secretary to the Government of India in the Ministry of Central Government dealing with culture.,doc_007@p6 | doc_007@p1 | doc_006@p31 | doc_007@p77 | doc_003@p8,"We looked outside our organisation for assistance. IASC has been most fortunate to benefit from the collaboration of four talented researchers. Andrew Lymer, Roger Debreceny, Glen Gray, and Asheq Rahm"
q_039,scanned_lookup,What is the assistance rate for repairs of State Highways and Major District Roads in hilly areas under the revised SDRF norms?,doc_008,9,OK,,Rs. 1.25 lakh/km.,doc_008@p11 | doc_008@p6 | doc_008@p12 | doc_008@p10 | doc_008@p3,"| | | | |---|---|---| | | e) Cattle shed attached with house | Rs. 3,000/- per shed. | | **11** | **Infrastructure** | | | | [Repair/ restoration (of immediate nature) of damaged infrastructure] | | |"
q_040,hindi_lookup,'पशुपालन' (Animal Husbandry) किस विभाग के आवंटन में सूचीबद्ध है?,doc_004,3,OK,,कृषि और सहकारिता विभाग (Department of Agriculture and Cooperation).,doc_004@p1 | doc_004@p3 | doc_008@p7 | doc_005@p19 | doc_004@p2,"Here's the accurately extracted text from the image, preserving its layout:  ( )2 YERED NI  सं० 460 No 460]  भारत का राजपत्र The Gazette of India  असाधारण EXTRAORDINARY भाग II-खण्ड 3-उप-खण्ड (ii) PART"
q_041,short_ambiguous,What about clause 5?,doc_001,3,DOC_MISS,"labeled docs ['doc_001'], top-10 docs ['doc_003', 'doc_004', 'doc_007']",Section 5 of the Public Records Act 1993 requires every records creating agency to nominate an officer as a records offi,doc_007@p61 | doc_004@p1 | doc_007@p15 | doc_007@p60 | doc_007@p64,5.6  FORM OF A WEB BUSINESS REPORTING STANDARD
q_042,short_ambiguous,Summarize the risks of plug-ins.,doc_007,31,OFF_BY_ONE,"labeled page [31], retrieval hits [30] (adjacent)","Plug-ins pose a computer security risk. If a file contains a virus or Trojan horse, the plug-in executing automatically ",doc_007@p27 | doc_007@p26 | doc_007@p30 | doc_007@p3 | doc_007@p27,"Plug-ins are also a computer security risk. With plug-ins, when users click on links to files that  requires  plug-ins,  the  plug-ins  will  automatically  launch. If  the  file  has  a  virus  or Tr"
q_043,short_ambiguous,What are the forms used for?,doc_002,3;4;5;6;7,OK,,"The forms (Form 1 through 9) in the Public Records Rules 1997 are used for appraisal, transfer, requisition, downgrading",doc_007@p29 | doc_002@p3 | doc_007@p14 | doc_007@p43 | doc_006@p4,JavaScript applications can undertake a number of different tasks. They can add a variety of interactions  to  a  Web  page. JavaScript  can  also  be  used  to  provide  validity  checking  on Web fo
q_044,short_ambiguous,Who pays for the audit?,doc_006,19,OK,,"Literature explores the economics of auditing digital reports, speculating whether the user accessing audited data—rathe",doc_006@p20 | doc_003@p13 | doc_006@p26 | doc_007@p65 | doc_006@p19,"'error' at the data level (Plumlee and Plumlee, 2008). As XBRL technology unties data points from  a  corporate  reporting  document,  the  literature  also  explores  the  economics  of  the  audit, "
q_045,short_ambiguous,How much for a dead cow?,doc_008,5,OFF_BY_ONE,"labeled page [5], retrieval hits [6] (adjacent)","Rs. 37,500/- per animal for a milch cow, yak, camel, or buffalo under the SDRF/NDRF animal husbandry assistance norms.",doc_008@p7 | doc_008@p6 | doc_007@p43 | doc_007@p32 | doc_007@p60,"```markdown | | | | |---|---|---| | | b) Perennial crops/Agro forestry (Plantation in own farmland) | Rs. 22,500/- ha. for all types of perennial crops/ Agro forestry (Plantation in own farmland), sub"
q_046,short_ambiguous,Is Adobe free?,doc_007,26,OK,,"Adobe's Acrobat reader is currently free, but there is no certainty it will remain so permanently, as it is a proprietar",doc_007@p24 | doc_007@p23 | doc_007@p27 | doc_007@p26 | doc_007@p12,"Electronic paper has several other issues. Inclusion of hypertext links within the electronic page is difficult, thereby losing the power of hypertext navigation. Adobe Acrobat files are also not inde"
q_047,short_ambiguous,What is MM Mahila Udyamita Abhiyaan?,doc_005,20,OK,,Mukhya Mantri Mahila Udyamita Abhiyaan is one of the flagship schemes under the 'Ashtadash Mukutor Unnoyonee Maala' list,doc_005@p20 | doc_005@p5 | doc_008@p13 | doc_003@p17 | doc_007@p58,Mukhya Mantri Mahila Udyamita Abhiyaan
q_048,short_ambiguous,When does the act come into force?,doc_001,1,DOC_MISS,"labeled docs ['doc_001'], top-10 docs ['doc_003', 'doc_004', 'doc_005', 'doc_006', 'doc_007']",The Public Records Act 1993 comes into force on such date as the Central Government may appoint by notification in the O,doc_003@p4 | doc_003@p19 | doc_003@p1 | doc_004@p1 | doc_005@p8,"notifications establishing SDRF as per section 48(1) (a) of the DM Act, 2005 is in force. A copy of the same may be provided to the MHA."
q_049,short_ambiguous,Any help for weavers?,doc_008,8,OFF_BY_ONE,"labeled page [8], retrieval hits [7] (adjacent)","Yes, assistance to artisans for handicrafts/handloom includes Rs. 5,000 per artisan for the replacement of damaged funct",doc_007@p28 | doc_007@p12 | doc_007@p59 | doc_007@p7 | doc_008@p10,66 See purl.org/dc/
q_050,short_ambiguous,What's the target for One Lakh Plus?,doc_005,20,OK,,'One Lakh Plus Jobs' is listed as flagship scheme #06 under the Ashtadash Mukutor Unnoyonee Maala in the Assam Budget 20,doc_005@p20 | doc_008@p12 | doc_003@p17 | doc_006@p4 | doc_006@p16,One Lakh Plus Jobs
